Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Ticker,First Close,YTD Return,Country
2025-05-20,23736.4296875,23917.0,23697.759765625,23827.779296875,3463700000,0.0,0.0,^HSI,19623.3203125,21.426,HSI (Hong Kong)
2025-05-21,23748.580078125,23778.240234375,23470.810546875,23544.310546875,3397700000,0.0,0.0,^HSI,19623.3203125,19.981,HSI (Hong Kong)
2025-05-22,23557.380859375,23749.380859375,23487.400390625,23601.259765625,3348700000,0.0,0.0,^HSI,19623.3203125,20.271,HSI (Hong Kong)
2025-05-25,23505.900390625,23571.01953125,23234.26953125,23282.330078125,3381800000,0.0,0.0,^HSI,19623.3203125,18.646,HSI (Hong Kong)
2025-05-26,23216.869140625,23419.55078125,23167.560546875,23381.990234375,3081400000,0.0,0.0,^HSI,19623.3203125,19.154,HSI (Hong Kong)
2025-05-27,23385.1796875,23476.220703125,23180.169921875,23258.310546875,2874700000,0.0,0.0,^HSI,19623.3203125,18.524,HSI (Hong Kong)
2025-05-28,23240.7109375,23603.8203125,23207.369140625,23573.380859375,3711300000,0.0,0.0,^HSI,19623.3203125,20.129,HSI (Hong Kong)
2025-05-29,23339.640625,23375.33984375,23163.220703125,23289.76953125,5293500000,0.0,0.0,^HSI,19623.3203125,18.684,HSI (Hong Kong)
2025-06-01,23043.099609375,23163.349609375,22668.349609375,23157.970703125,2309300000,0.0,0.0,^HSI,19623.3203125,18.012,HSI (Hong Kong)
2025-06-02,23281.099609375,23535.369140625,23281.099609375,23512.490234375,3676300000,0.0,0.0,^HSI,19623.3203125,19.819,HSI (Hong Kong)
2025-06-03,23499.779296875,23716.9296875,23481.4609375,23654.029296875,3498700000,0.0,0.0,^HSI,19623.3203125,20.54,HSI (Hong Kong)
2025-06-04,23828.689453125,23911.140625,23732.310546875,23906.970703125,3272600000,0.0,0.0,^HSI,19623.3203125,21.829,HSI (Hong Kong)
2025-06-05,23941.5703125,23951.140625,23773.359375,23792.5390625,4376700000,0.0,0.0,^HSI,19623.3203125,21.246,HSI (Hong Kong)
2025-01-01,8159.10009765625,8204.2001953125,8146.60009765625,8201.2001953125,304400,0.0,0.0,^AXJO,8201.2001953125,0.0,AXJO (Australia)
2025-01-02,8201.2001953125,8263.900390625,8200.2001953125,8250.5,329100,0.0,0.0,^AXJO,8201.2001953125,0.601,AXJO (Australia)
2025-01-05,8257.400390625,8292.400390625,8257.400390625,8288.5,52200,0.0,0.0,^AXJO,8201.2001953125,1.064,AXJO (Australia)
2025-01-06,8257.400390625,8297.599609375,8257.400390625,8285.099609375,424300,0.0,0.0,^AXJO,8201.2001953125,1.023,AXJO (Australia)
2025-01-07,8285.099609375,8370.7001953125,8262.2998046875,8349.099609375,488800,0.0,0.0,^AXJO,8201.2001953125,1.803,AXJO (Australia)
2025-01-08,8349.099609375,8349.099609375,8291.900390625,8329.2001953125,561900,0.0,0.0,^AXJO,8201.2001953125,1.561,AXJO (Australia)
2025-01-09,8329.2001953125,8356.2001953125,8262.2001953125,8294.099609375,525900,0.0,0.0,^AXJO,8201.2001953125,1.133,AXJO (Australia)
2025-01-12,8294.099609375,8294.099609375,8160.7001953125,8191.89990234375,523200,0.0,0.0,^AXJO,8201.2001953125,-0.113,AXJO (Australia)
2025-01-13,8191.89990234375,8253.7998046875,8191.89990234375,8231.0,525500,0.0,0.0,^AXJO,8201.2001953125,0.363,AXJO (Australia)
2025-01-14,8231.0,8263.5,8212.900390625,8213.2998046875,502700,0.0,0.0,^AXJO,8201.2001953125,0.148,AXJO (Australia)
2025-01-15,8213.2998046875,8345.599609375,8213.2998046875,8327.0,527200,0.0,0.0,^AXJO,8201.2001953125,1.534,AXJO (Australia)
2025-01-16,8327.0,8346.7998046875,8303.0,8310.400390625,525900,0.0,0.0,^AXJO,8201.2001953125,1.332,AXJO (Australia)
2025-01-19,8347.400390625,8407.099609375,8347.400390625,8402.0,62700,0.0,0.0,^AXJO,8201.2001953125,2.448,AXJO (Australia)
2025-01-20,8402.400390625,8429.599609375,8396.2998046875,8420.2998046875,44800,0.0,0.0,^AXJO,8201.2001953125,2.672,AXJO (Australia)
2025-01-21,8402.400390625,8455.599609375,8396.2998046875,8429.7998046875,558000,0.0,0.0,^AXJO,8201.2001953125,2.787,AXJO (Australia)
2025-01-22,8429.7998046875,8429.7998046875,8366.0,8378.7001953125,543700,0.0,0.0,^AXJO,8201.2001953125,2.164,AXJO (Australia)
2025-01-23,8378.7001953125,8421.099609375,8378.7001953125,8408.900390625,434700,0.0,0.0,^AXJO,8201.2001953125,2.533,AXJO (Australia)
2025-01-27,8408.900390625,8427.099609375,8386.5,8399.099609375,607900,0.0,0.0,^AXJO,8201.2001953125,2.413,AXJO (Australia)
2025-01-28,8401.400390625,8481.599609375,8396.400390625,8447.0,589100,0.0,0.0,^AXJO,8201.2001953125,2.997,AXJO (Australia)
2025-01-29,8493.7001953125,8550.2001953125,8493.7001953125,8550.099609375,82600,0.0,0.0,^AXJO,8201.2001953125,4.254,AXJO (Australia)
2025-01-30,8493.7001953125,8566.900390625,8493.7001953125,8532.2998046875,738300,0.0,0.0,^AXJO,8201.2001953125,4.037,AXJO (Australia)
2025-02-02,8532.2998046875,8532.2998046875,8353.900390625,8379.400390625,598200,0.0,0.0,^AXJO,8201.2001953125,2.173,AXJO (Australia)
2025-02-03,8379.400390625,8446.7998046875,8374.0,8374.0,565500,0.0,0.0,^AXJO,8201.2001953125,2.107,AXJO (Australia)
2025-02-04,8374.0,8441.2001953125,8374.0,8416.900390625,618200,0.0,0.0,^AXJO,8201.2001953125,2.63,AXJO (Australia)
2025-02-05,8416.900390625,8523.2001953125,8416.900390625,8520.7001953125,616800,0.0,0.0,^AXJO,8201.2001953125,3.896,AXJO (Australia)
2025-02-06,8520.7001953125,8532.599609375,8498.7001953125,8511.400390625,485000,0.0,0.0,^AXJO,8201.2001953125,3.782,AXJO (Australia)
2025-02-09,8511.400390625,8511.400390625,8445.2998046875,8482.7998046875,477700,0.0,0.0,^AXJO,8201.2001953125,3.434,AXJO (Australia)
2025-02-10,8482.7998046875,8515.2998046875,8480.599609375,8484.0,670100,0.0,0.0,^AXJO,8201.2001953125,3.448,AXJO (Australia)
2025-02-11,8484.0,8535.2998046875,8469.7001953125,8535.2998046875,683600,0.0,0.0,^AXJO,8201.2001953125,4.074,AXJO (Australia)
2025-02-12,8535.2998046875,8575.2001953125,8534.599609375,8540.0,776000,0.0,0.0,^AXJO,8201.2001953125,4.131,AXJO (Australia)
2025-02-13,8540.0,8615.2001953125,8540.0,8555.7998046875,750900,0.0,0.0,^AXJO,8201.2001953125,4.324,AXJO (Australia)
2025-02-16,8537.099609375,8544.7001953125,8505.7998046875,8505.7998046875,81900,0.0,0.0,^AXJO,8201.2001953125,3.714,AXJO (Australia)
2025-02-17,8537.099609375,8544.7001953125,8468.7001953125,8481.0,631300,0.0,0.0,^AXJO,8201.2001953125,3.412,AXJO (Australia)
2025-02-18,8481.0,8482.0,8389.400390625,8419.2001953125,757300,0.0,0.0,^AXJO,8201.2001953125,2.658,AXJO (Australia)
2025-02-19,8419.2001953125,8419.2001953125,8287.7998046875,8322.7998046875,893600,0.0,0.0,^AXJO,8201.2001953125,1.483,AXJO (Australia)
2025-02-20,8322.7998046875,8354.0,8289.7001953125,8296.2001953125,698400,0.0,0.0,^AXJO,8201.2001953125,1.158,AXJO (Australia)
2025-02-23,8296.2001953125,8310.0,8216.2998046875,8308.2001953125,762700,0.0,0.0,^AXJO,8201.2001953125,1.305,AXJO (Australia)
2025-02-24,8308.2001953125,8308.2001953125,8227.599609375,8251.900390625,754100,0.0,0.0,^AXJO,8201.2001953125,0.618,AXJO (Australia)
2025-02-25,8251.900390625,8251.900390625,8210.099609375,8240.7001953125,694700,0.0,0.0,^AXJO,8201.2001953125,0.482,AXJO (Australia)
2025-02-26,8240.7001953125,8300.0,8240.7001953125,8268.2001953125,694100,0.0,0.0,^AXJO,8201.2001953125,0.817,AXJO (Australia)
2025-02-27,8268.2001953125,8268.2001953125,8155.5,8172.39990234375,1960900,0.0,0.0,^AXJO,8201.2001953125,-0.351,AXJO (Australia)
2025-03-02,8172.39990234375,8251.900390625,8172.39990234375,8245.7001953125,707200,0.0,0.0,^AXJO,8201.2001953125,0.543,AXJO (Australia)
2025-03-03,8245.7001953125,8245.7001953125,8150.2001953125,8198.099609375,706000,0.0,0.0,^AXJO,8201.2001953125,-0.038,AXJO (Australia)
2025-03-04,8198.099609375,8198.099609375,8096.0,8141.10009765625,736500,0.0,0.0,^AXJO,8201.2001953125,-0.733,AXJO (Australia)
2025-03-05,8141.10009765625,8179.7001953125,8076.39990234375,8094.7001953125,732100,0.0,0.0,^AXJO,8201.2001953125,-1.299,AXJO (Australia)
2025-03-06,8094.7001953125,8094.7001953125,7946.39990234375,7948.2001953125,672900,0.0,0.0,^AXJO,8201.2001953125,-3.085,AXJO (Australia)
2025-03-09,7948.2001953125,7978.60009765625,7948.10009765625,7962.2998046875,555900,0.0,0.0,^AXJO,8201.2001953125,-2.913,AXJO (Australia)
2025-03-10,7962.2998046875,7962.2998046875,7818.2998046875,7890.10009765625,1149100,0.0,0.0,^AXJO,8201.2001953125,-3.793,AXJO (Australia)
2025-03-11,7890.10009765625,7890.10009765625,7733.5,7786.2001953125,952200,0.0,0.0,^AXJO,8201.2001953125,-5.06,AXJO (Australia)
2025-03-12,7786.2001953125,7821.10009765625,7746.39990234375,7749.10009765625,821800,0.0,0.0,^AXJO,8201.2001953125,-5.513,AXJO (Australia)
2025-03-13,7749.10009765625,7795.2998046875,7740.10009765625,7789.7001953125,710100,0.0,0.0,^AXJO,8201.2001953125,-5.018,AXJO (Australia)
2025-03-16,7792.2998046875,7858.5,7792.2998046875,7854.10009765625,648300,0.0,0.0,^AXJO,8201.2001953125,-4.232,AXJO (Australia)
2025-03-17,7854.10009765625,7922.89990234375,7850.0,7860.39990234375,700500,0.0,0.0,^AXJO,8201.2001953125,-4.155,AXJO (Australia)
2025-03-18,7860.39990234375,7868.5,7808.7998046875,7828.2998046875,756800,0.0,0.0,^AXJO,8201.2001953125,-4.547,AXJO (Australia)
2025-03-19,7828.2998046875,7931.2001953125,7828.2998046875,7918.89990234375,1030200,0.0,0.0,^AXJO,8201.2001953125,-3.442,AXJO (Australia)
2025-03-20,7918.89990234375,7962.60009765625,7905.10009765625,7931.2001953125,2217500,0.0,0.0,^AXJO,8201.2001953125,-3.292,AXJO (Australia)
2025-03-23,7931.2001953125,7939.2001953125,7899.5,7936.89990234375,633300,0.0,0.0,^AXJO,8201.2001953125,-3.223,AXJO (Australia)
2025-03-24,7936.89990234375,7994.0,7936.89990234375,7942.5,651400,0.0,0.0,^AXJO,8201.2001953125,-3.154,AXJO (Australia)
2025-03-25,7942.5,8014.89990234375,7942.5,7999.0,710600,0.0,0.0,^AXJO,8201.2001953125,-2.465,AXJO (Australia)
2025-03-26,7999.0,7999.0,7936.2001953125,7969.0,715800,0.0,0.0,^AXJO,8201.2001953125,-2.831,AXJO (Australia)
2025-03-27,7969.0,8001.0,7941.5,7982.0,600300,0.0,0.0,^AXJO,8201.2001953125,-2.673,AXJO (Australia)
2025-03-30,7982.0,7982.0,7843.0,7843.39990234375,812600,0.0,0.0,^AXJO,8201.2001953125,-4.363,AXJO (Australia)
2025-03-31,7843.39990234375,7925.2001953125,7843.39990234375,7925.2001953125,632700,0.0,0.0,^AXJO,8201.2001953125,-3.365,AXJO (Australia)
2025-04-01,7925.2001953125,7978.39990234375,7925.2001953125,7934.5,649300,0.0,0.0,^AXJO,8201.2001953125,-3.252,AXJO (Australia)
2025-04-02,7934.5,7934.5,7768.0,7859.7001953125,800600,0.0,0.0,^AXJO,8201.2001953125,-4.164,AXJO (Australia)
2025-04-03,7859.7001953125,7859.7001953125,7664.2001953125,7667.7998046875,960900,0.0,0.0,^AXJO,8201.2001953125,-6.504,AXJO (Australia)
2025-04-06,7667.7998046875,7667.7998046875,7169.2001953125,7343.2998046875,1507200,0.0,0.0,^AXJO,8201.2001953125,-10.461,AXJO (Australia)
2025-04-07,7343.2998046875,7510.0,7343.2998046875,7510.0,1017100,0.0,0.0,^AXJO,8201.2001953125,-8.428,AXJO (Australia)
2025-04-08,7510.0,7510.0,7349.0,7375.0,939800,0.0,0.0,^AXJO,8201.2001953125,-10.074,AXJO (Australia)
2025-04-09,7375.0,7842.89990234375,7375.0,7709.60009765625,1010100,0.0,0.0,^AXJO,8201.2001953125,-5.994,AXJO (Australia)
2025-04-10,7709.60009765625,7709.60009765625,7524.5,7646.5,834800,0.0,0.0,^AXJO,8201.2001953125,-6.764,AXJO (Australia)
2025-04-13,7646.5,7764.10009765625,7646.5,7748.60009765625,661200,0.0,0.0,^AXJO,8201.2001953125,-5.519,AXJO (Australia)
2025-04-14,7748.60009765625,7798.7001953125,7743.60009765625,7761.7001953125,676700,0.0,0.0,^AXJO,8201.2001953125,-5.359,AXJO (Australia)
2025-04-15,7761.7001953125,7791.39990234375,7747.5,7758.89990234375,730500,0.0,0.0,^AXJO,8201.2001953125,-5.393,AXJO (Australia)
